epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.6717,1.41422,9.38058,1.54895,0,0,0,0,1.05761,4.14821,1.17205,7.4e-06,7.4e-06,7.4e-06
2,7.40962,1.44055,9.36057,1.68144,0,0,0,0,1.07262,4.14535,1.13494,1.50016e-05,1.50016e-05,1.50016e-05
3,9.12988,1.34901,9.12912,1.56831,0,0,0,0,1.05292,4.14297,1.13626,2.07718e-05,2.07718e-05,2.07718e-05
4,10.8585,1.21535,9.03327,1.40559,0,0,0,0,0.93577,4.13985,1.08504,2.47104e-05,2.47104e-05,2.47104e-05
5,12.5334,1.11074,8.85911,1.31557,0,0,0,0,0.81615,4.13392,1.02771,2.68176e-05,2.68176e-05,2.68176e-05
6,14.1614,0.92003,8.81306,1.21532,0,0,0,0,0.74217,4.13225,0.99958,2.70933e-05,2.70933e-05,2.70933e-05
7,15.8289,0.79924,8.44064,1.12294,0,0,0,0,0.57064,4.12609,0.96645,2.55374e-05,2.55374e-05,2.55374e-05
8,17.4787,0.73165,8.45388,1.14151,0,0,0,0,0.46877,4.12463,0.93091,2.21501e-05,2.21501e-05,2.21501e-05
9,19.1277,0.72336,8.45261,1.15852,0,0,0,0,0.474,4.12761,0.93386,1.69312e-05,1.69312e-05,1.69312e-05
10,20.7832,0.60445,8.50944,1.05918,0,0,0,0,0.54144,4.11704,0.97195,9.88085e-06,9.88085e-06,9.88085e-06
