epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.82688,0.60929,8.49383,1.05083,0,0,0,0,0.59167,4.11632,0.97135,7.4e-06,7.4e-06,7.4e-06
2,7.29245,0.61269,8.62627,1.02982,0,0,0,0,0.59735,4.10394,0.98274,1.50016e-05,1.50016e-05,1.50016e-05
3,9.04974,0.55893,8.55872,1.0421,0,0,0,0,0.50829,4.09199,0.94157,2.07718e-05,2.07718e-05,2.07718e-05
4,10.8595,0.54123,8.62202,1.0113,0,0,0,0,0.40145,4.08295,0.90771,2.47104e-05,2.47104e-05,2.47104e-05
5,12.6406,0.48754,8.41639,0.96383,0,0,0,0,0.33834,4.0645,0.86541,2.68176e-05,2.68176e-05,2.68176e-05
6,15.0786,0.49104,8.39123,0.96798,0,0,0,0,0.31434,4.05662,0.8567,2.70933e-05,2.70933e-05,2.70933e-05
7,16.8689,0.4438,8.2505,0.94431,0,0,0,0,0.32977,4.02528,0.84611,2.55374e-05,2.55374e-05,2.55374e-05
8,18.5784,0.53182,8.4497,1.02393,0,0,0,0,0.33765,4.00625,0.84916,2.21501e-05,2.21501e-05,2.21501e-05
9,20.2747,0.51963,8.59204,0.99884,0,0,0,0,0.344,3.98762,0.85484,1.69312e-05,1.69312e-05,1.69312e-05
10,21.9817,0.44135,8.72975,0.96077,0,0,0,0,0.34199,3.96135,0.85144,9.88085e-06,9.88085e-06,9.88085e-06
